,2020,2019,2018,2017,2016,2015,2010,2005,2000,1995,1990,1985,1980,1975,1970,1965,1960,1955
Angola,"32,866,272","31,825,295","30,809,787","29,816,766","28,842,489","27,884,381","23,356,246","19,433,602","16,395,473","13,945,206","11,848,386","9,961,997","8,341,289","7,024,000","5,890,365","5,770,570","5,454,933","5,043,247"
Malaysia,"32,365,999","31,949,777","31,528,033","31,104,646","30,684,654","30,270,962","28,208,035","25,690,611","23,194,257","20,487,607","18,029,824","15,598,927","13,798,085","12,162,187","10,804,131","9,526,558","8,156,347","7,038,913"
Mozambique,"31,255,435","30,366,036","29,496,004","28,649,018","27,829,938","27,042,002","23,531,574","20,493,925","17,711,927","15,483,286","12,987,292","12,764,387","11,630,194","10,165,215","9,022,741","8,039,215","7,184,869","6,508,398"
Ghana,"31,072,940","30,417,856","29,767,102","29,121,465","28,481,945","27,849,205","24,779,619","21,814,642","19,278,856","17,014,057","14,773,277","12,783,613","11,056,116","9,985,946","8,735,495","7,739,473","6,635,230","5,730,594"
Yemen,"29,825,964","29,161,922","28,498,683","27,834,819","27,168,208","26,497,889","23,154,855","20,107,409","17,409,072","14,913,315","11,709,993","9,572,175","7,941,898","6,784,695","6,193,384","5,727,751","5,315,355","4,965,574"
Nepal,"29,136,808","28,608,710","28,095,714","27,632,681","27,263,433","27,015,031","27,013,212","25,744,500","23,941,110","21,576,071","18,905,478","16,858,310","15,016,402","13,420,369","12,074,626","10,972,912","10,105,050","9,316,916"
Venezuela,"28,435,940","28,515,829","28,887,118","29,402,484","29,851,255","30,081,829","28,439,940","26,432,447","24,192,446","21,931,084","19,632,665","17,319,520","15,182,611","13,189,509","11,396,393","9,692,278","8,141,841","6,744,695"
Madagascar,"27,691,018","26,969,307","26,262,313","25,570,512","24,894,370","24,234,088","21,151,640","18,336,724","15,766,806","13,475,400","11,598,633","10,063,495","8,716,553","7,556,026","6,576,305","5,769,218","5,099,373","4,543,542"
Cameroon,"26,545,863","25,876,380","25,216,267","24,566,073","23,926,551","23,298,368","20,341,241","17,733,410","15,513,945","13,599,988","11,780,088","10,070,806","8,621,406","7,451,054","6,519,762","5,773,543","5,176,918","4,706,995"
Côte d'Ivoire,"26,378,274","25,716,544","25,069,230","24,437,470","23,822,714","23,226,143","20,532,950","18,354,514","16,454,668","14,199,762","11,924,877","9,918,196","8,033,650","6,412,403","5,102,064","4,226,844","3,503,553","3,004,421"
North Korea,"25,778,816","25,666,161","25,549,604","25,429,825","25,307,665","25,183,833","24,548,836","23,904,167","22,929,075","21,862,299","20,293,054","18,877,238","17,472,140","16,274,740","14,410,400","12,547,525","11,424,176","10,086,991"
Australia,"25,499,884","25,203,198","24,898,152","24,584,620","24,262,712","23,932,502","22,154,679","20,178,540","18,991,431","17,993,074","16,960,597","15,663,663","14,588,405","13,773,288","12,793,034","11,313,195","10,242,076","9,165,707"
Niger,"24,206,644","23,310,715","22,442,822","21,602,382","20,788,798","20,001,663","16,464,025","13,624,467","11,331,557","9,490,288","8,026,591","6,915,997","5,989,004","5,184,941","4,510,644","3,914,117","3,388,764","2,955,541"
Taiwan,"23,816,775","23,773,876","23,726,460","23,674,546","23,618,200","23,557,477","23,187,551","22,705,713","21,966,527","21,356,033","20,478,520","19,303,404","17,905,458","16,464,927","14,924,455","12,901,155","10,876,150","9,189,972"
Sri Lanka,"21,413,249","21,323,733","21,228,763","21,128,032","21,021,171","20,908,027","20,261,737","19,544,988","18,777,601","18,242,912","17,325,773","16,176,280","15,035,834","13,755,146","12,485,740","11,110,820","9,874,476","8,778,438"
Burkina Faso,"20,903,273","20,321,378","19,751,466","19,193,234","18,646,357","18,110,624","15,605,217","13,421,930","11,607,942","10,089,878","8,811,034","7,727,907","6,822,843","6,154,545","5,624,600","5,174,870","4,829,288","4,517,155"
Mali,"20,250,833","19,658,031","19,077,749","18,512,430","17,965,443","17,438,778","15,049,353","12,775,516","10,946,445","9,585,653","8,449,913","7,831,889","7,090,126","6,482,278","5,949,045","5,568,484","5,263,733","4,975,398"
Romania,"19,237,691","19,364,557","19,506,114","19,653,969","19,796,285","19,925,175","20,471,864","21,417,291","22,137,419","22,964,754","23,489,160","23,071,274","22,615,639","21,665,643","20,548,911","19,379,568","18,613,939","17,483,935"
Malawi,"19,129,952","18,628,747","18,143,217","17,670,196","17,205,261","16,745,303","14,539,612","12,625,952","11,148,758","9,844,415","9,404,500","7,268,267","6,250,440","5,384,795","4,703,782","4,134,460","3,659,984","3,270,548"
Chile,"19,116,201","18,952,038","18,729,160","18,470,439","18,209,068","17,969,353","17,062,536","16,182,721","15,342,353","14,380,866","13,274,623","12,257,236","11,419,348","10,592,307","9,783,134","8,989,621","8,132,990","7,322,652"
