"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Barbados","BRB","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","64405227.4639869","76777123.4654157","90281542.7546342","104459802.118033","125292099.637051","172177198.82663","188807239.09909","193158653.60712","218962859.841893","245214537.861085","223934768.557649","223636454.034704","232188137.025804","254760602.595336","268035598.866405","376373489.782728","351464227.11679","298450000","301496544.523443","308854969.422761","331327996.817978","352607766.121414","400785561.577089","439815044.995774","451449311.390643","468300000","448750000","447950000","504050000","519700000","570850000","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","971726373.671468","1045839834.68983","1287437267.28185","1468803804.21415","1565083553.2102","2360893957.50943","4180833177.65739","3573626165.57012","3398130841.1215","2972550875.53242","2779053959.02677","2530339530.02136","1386975291.63222","1639126305.79297","1406281057.44385","1785389786.18674","2167192993.10345","2205183896.73536","2526824493.55433","2349906424.06238","2200147505.56501","2569200437.42063","2880295319.14894","2912863281.25","2087712177.34226","2538491209.43953","3820920707.65661","3363031869.17453","3544681391.71228","4206368270.00344","5341627558.86877","6820704157.65441","8393857385.61269","8733196204.63141","10667160598.363","7019524267.83996","9411074440.77741","13648143731.6162","13839628681.178","12670236572.89","11601578531.9653","7934395228.74391","6531362122.63809","7242966181.47585","8580487434.20565","8420453012.75473","7099480604.50616",
"Bhutan","BTN","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","15666984.7328244","25090438.7990762","28342801.2684989","34704366.3366337","35991003.5211268","33367324.1713824","39818406.0269627","64724799.382716","64115150.862069","64619605.6685151","72603632.2101656","62647145.998241","67527978.3950617","67669977.041653","77771695.8877909","98867271.0453284","103411899.520181","118946474.80033","119672101.308774","144225051.0915","154661143.747219","176722509.006145","200832400.740588","237083273.937312","255124117.387467","294206303.854875","338476879.952325","526904664.014414","543581553.46947","530776191.863288","678249559.329744","745968594.722576","758982618.84979","761616500.960787","794352837.562163","851270495.495847","918666632.934149","1025305305.76644","934787650.150973","914330810.859937","796803442.761655",
"Botswana","BWA","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","4054114.67825599","4046173.21953267","4054114.67825599","4042779.25346009","5615363.16743343","8795197.54292894","7391910.73919107","8786610.87866109","8228730.82287308","15109316.2512185","26521496.3707426","35162829.8708591","45419254.6583851","65624549.7766892","85356880.0588668","110141987.829615","118387764.48942","146615201.900238","220900748.611446","350306748.466258","465645908.389089","440121907.493725","439399825.191803","559531406.691585","640596118.299446","632686849.574267","806875631.951466","1140359759.36625","1637318166.90364","1894163482.05866","2157081429.72319","2111174317.37238","2059226430.29815","1991828649.25096","1842546375.62393","2076401414.03939","2202183984.11648","2293962967.02093","2086017179.77236","2457032263.64501","2680034497.62829","2457577210.1623","2391210215.24068","2975819430.69557","3477457670.09738","4250742900.69772","4419187074.42156","4572538199.64814","3999384596.22962","2890820254.0845","4073996953.0146","5380323667.04688","4273669851.44951","4691465703.84217","6463040741.52472","5079978280.18561","6085091549.55418","5975182171.36672","5927156862.7451","5313502356.84601","4145990817.19942",
"Central African Republic","CAF","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","505995197.234651","525147520.899089","649438534.141003","690864063.375577","409206648.476735","369157073.728328","375205700.428459","394901769.406162","429747830.387933","456539018.609353","455632704.113765","477689103.800301",
"Canada","CAN","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","181539072656.363","170126727334.007","189085279666.151","219708437142.28","210222107438.017","209734913655.77","249922203982.585","291488854727.133","342700115530.616","380575634696.756","421344381342.519","455678537956.888","344701250984.166","426188304452.91","486697022204.677","486979356756.42","491439314623.88","490043362985.931","380032251381.957","355950967448.067","396282298083.287","","","",
"Central Europe and the Baltics","CEB","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122392825925.029","129351593709.157","126840486554.78","136008760076.526","128309507213.367","123695358082.056","134212369118.258","149024262014.811","180104767752.914","223334334981.819","260134147929.745","299376382715.732","379082967760.401","459967984514.07","382173054057.514","389247408496.088","436146196619.959","395228610269.885","404628503872.318","425770210362.095","377428449035.662","379488614056.362","409169063046.474","455966947072.345","456280236134.648","443963072146.015",
"Switzerland","CHE","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81309681111.431","81538463737.7964","82756569478.0259","79180230102.8695","90138924471.7409","102889731923.89","95625977346.2783","80697835733.4803","81155493861.2222","78673519504.7264","71476570937.9441","75595970016.5916","82264799178.7502","94727986931.0166","104095740249.296","109253738355.284","116026081512.203","128780288237.254","148856151786.539","139299499126.918","150387128156.438","182528151650.999","172160492490.905","177898316819.261","180827382658.348","171856088836.391","170108139420.115","172571269517.531","181460360302.013","182600680234.46","189910061867.017",
"Channel Islands","CHI","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","1473432590.8558","1650111098.46113","2041525554.60819","2239114160.88966","2409341607.33799","2402973661.41786","2773078125.12195","2787480319.18194","2951073213.72091","3582925706.55456","3774431095.48039","4201191665.09913","4480409405.04359","6899744839.84869","7899927044.0417","2906355271.81381","4133781058.60716","5042212899.93918","5756552320.38288","8131861337.35863","10829727345.8691","12481466194.0596","9084272675.18152","7851121097.18488","7528757733.5675","6953541255.99689","6680193640.18209","8057284597.41361","10727689570.4459","11932301538.8278","12985774452.641","14139973942.5004","16208652051.4093","17252119911.176","20857010860.8216","27941867024.2206","26751167492.1775","28707679328.659","25212421334.5934","22966269780.4552","24465693027.1182","22587643949.9795","22292070975.9921","25274537691.9294","35716303376.7001","45323828160.4416","63628694641.8368","69344788755.8612","61506952193.9437","59371246261.8561","78007185465.063","87534776010.379","86919246981.4766","86838533105.8897","80859629640.4547","72629459844.6992","72341003566.2494","81568788029.3844","87453645031.7554","81326077089.6293","79488567096.3479",
